"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
29;152;23;0;0;0;949;963;15;2.77258872223978;6;0.3;1;36;216;0.09;0.027;1.8
29;152;24;0;0;0;977;977;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;25;0;0;0;979;985;7;2.07944154167984;6;0.3;1;36;216;0.09;0.027;1.8
29;152;26;0;0;0;989;995;7;2.07944154167984;6;0.3;1;36;216;0.09;0.027;1.8
29;152;27;0;0;0;997;1000;4;1.6094379124341;6;0.3;1;36;216;0.09;0.027;1.8
30;152;1;1;1;0;1;162;162;5.09375020080676;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;2;0;1;0;164;209;46;3.85014760171006;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;3;0;0;0;213;215;3;1.38629436111989;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;4;0;0;0;217;217;1;0.693147180559945;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;5;0;0;0;219;219;1;0.693147180559945;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;6;0;0;0;221;223;3;1.38629436111989;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;7;0;0;0;251;255;5;1.79175946922805;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;8;0;0;0;261;261;1;0.693147180559945;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;9;0;0;0;263;263;1;0.693147180559945;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;10;0;0;0;703;703;1;0.693147180559945;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;11;0;0;0;705;707;3;1.38629436111989;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;12;0;0;0;709;709;1;0.693147180559945;6;0.35;1;36;216;0.1225;0.042875;2.1
30;152;13;0;0;0;711;711;1;0.693147180559945;6;0.35;1;36;216;0.1225;0.042875;2.1
